Abkhazia,289
Afganistan,412
Albania,276
Algeria,603
American Samoa,544
Andorra,213
Angola,631
Anguilla,365
Antigua and Barbuda,344
Argentina,722
Armenia,283
Aruba,363
Australia,505
Austria,232
Azerbaijan,400
Bahamas,364
Bahrain,426
Bangladesh,470
Barbados,342
Belarus,257
Belgium,206
Belize,702
Benin,616
Bermuda,350
Bhutan,402
Bolivia,736
Bosnia and Herzegovina,218
Botswana,652
Brazil,724
British Virgin Islands,348
Brunei Darussalam,528
Bulgaria,284
Burkina Faso,613
Burundi,642
Cambodia,456
Cameroon,624
Canada,302
Cape Verde,625
Cayman Islands,346
Central African Republic,623
Chad,622
Chile,730
China,460
Colombia,732
Comoros and Mayotte,654
Cook Islands,548
Costa Rica,712
C_¥te d'Ivoire,612
Croatia,219
Cuba,368
Cyprus,280
Czech Rep.,230
Democratic Rep. of Congo,630
Denmark,238
Djibouti,638
Dominica,366
Dominican Republic,370
Ecuador,740
Egypt,602
El Salvador,706
Equatorial Guinea,627
Estonia,248
Ethiopia,636
Falkland Islands,750
Faroe Islands,288
Fiji,542
Finland,244
France,208
French Guiana,742
French Polynesia,547
Gabon,628
Gambia,607
Georgia,282
Germany,262
Ghana,620
Gibraltar,266
Greece,202
Greenland,290
Grenada,352
Guam (US),535
Guatemala,704
Guinea,611
Guinea-Bissau,632
Guyana,738
Haiti,372
Honduras,708
Hongkong,454
Hungary,216
Iceland,274
India,404,405
Indonesia,510
International,901
Iran,432
Iraq,418
Ireland,272
Israel,425
Italy,222
Jamaica,338
Japan,440
Jordan,416
Kazakhstan,401
Kenya,639
Kiribati,545
Korea (North),467
Korea (South),450
Kuwait,419
Kyrqyzstan,437
Laos,457
Latvia,247
Lebanon,415
Lesotho,651
Liberia,618
Libya,606
Liechtenstein,295
Lithuania,246
Luxembourg,270
Macao China,455
Macedonia,294
Madagascar,646
Malawi,650
Malaysia,502
Maldives,472
Mali,610
Malta,278
Martinique & Guadeloupe,340
Mauritania,609
Mauritius,617
Mexico,334
Micronesia,550
Moldova,259
Monaco,212
Mongolia,428
Montenegro,297
Montserrat,354
Morocco,604
Mozambique,643
Myanmar,414
Namibia,649
Nepal,429
Netherlands,204
Netherlands Antilles,362
New Caledonia,546
New Zealand,530
Nicaraqua,710
Niger,614
Nigeria,621
Norway,242
Oman,422
Pakistan,410
Palau,552
Panama,714
Papua New Guinea,537
Paraquay,744
Peru,716
Philippines,515
Poland,260
Portugal,268
Puerto Rico (US),330
Quatar,427
Republic of Congo,629
Reunion,647
Romania,226
Russia,250
Rwanda,635
Saint Kitts and Nevis,356
Saint Lucia,358
Saint Vincent and the Grenadines,360
Samoa,549
Sao Tome and Principe,626
Saudi Arabia,420
Senegal,608
Serbia,220
Seychelles,633
Sierra Leone,619
Singapore,525
Slovakia,231
Slovenia,293
Solomon Islands,540
Somalia,637
South Africa,655
South Sudan,659
Spain,214
Sri Lanka,413
St. Helena Ascension and Tristan,658
St. Pierre and Miquelon,308
Sudan,634
Suriname,746
Swaziland,653
Sweden,240
Switzerland,228
Syrian Arab Republic,417
Taiwan,466
Tajikistan,436
Tanzania,640
Thailand,520
Timor-Leste (East Timor),514
Togo,615
Tonga,539
Trinidad and Tobago,374
Tunisia,605
Turkey,286
Turkmenistan,438
Turks and Caicos Islands (UK),376
Uganda,641
UK,234
Ukraine,255
United Arab Emirates,424
United States,310,311
Uruguay,748
Uzbekistan,434
Vanuatu,541
Venezuela,734
Vietnam,452
Yemen,421
Zambia,645
Zimbabwe,648
